,Investment cost (M€),Technical cost (M€),Losses (M€),Overload cost (M€),Voltage cost (M€)
Solution 142,100.0,15336.927900574346,259.2019880152638,15077.662467555156,0.06344500392767416
Solution 143,100.0,15338.417717044204,259.3798918683233,15078.974379026704,0.06344614917679647
Solution 144,100.0,15337.402549666724,259.26992461950397,15078.069179628184,0.06344541903489365
Solution 145,100.0,15338.219337094662,259.30014605386157,15078.855745294655,0.06344574614601772
Solution 146,100.0,15337.51692148173,259.1934081331393,15078.26006824428,0.06344510431011952
Solution 147,100.0,15333.187628063473,259.012615554758,15074.111569230969,0.0634432777465701
Solution 148,100.0,15338.730627762441,259.1841221228449,15079.48306029069,0.0634453489062059
Solution 149,100.0,15331.088789725516,258.83392081390866,15072.191426926169,0.06344198543787927
Solution 150,100.0,15342.11187187994,258.3197388685792,15083.72869067751,0.06344233385235543
Solution 151,100.0,15337.695627800942,258.4928353071861,15079.13935045521,0.06344203854463215
Solution 152,100.0,15339.208358744314,259.2600879659016,15079.884824978259,0.06344580015362822
Solution 153,100.0,15338.41607889024,259.2600447360805,15079.092588540769,0.06344561339256938
Solution 154,100.0,14023.536538652037,255.94700204364273,13767.526114894112,0.06342171428284538
Solution 155,100.0,14017.739544144652,255.44123618800933,13762.234889860878,0.06341809576346025
Solution 156,100.0,14009.98705023219,254.76435365930521,13755.15928331766,0.06341325522504793
Solution 157,100.0,15337.056183576833,259.26031158498944,15077.732426697215,0.06344529462816195
Solution 158,100.0,15407.346432998876,258.9007961157337,15148.382194007223,0.06344287591960951
Solution 159,100.0,15419.08971832229,258.3803781708656,15160.645901007441,0.06343914398333572
Solution 160,100.0,15342.78800302499,256.09333873499696,15086.631241528472,0.06342276152096216
Solution 161,100.0,15325.28383458974,258.8702837710858,15066.350108161581,0.06344265707259389
Solution 162,100.0,15340.603163232096,259.2146913232805,15081.325026781207,0.06344512760725429
Solution 163,100.0,15335.129063649645,258.5083162428904,15076.557307345463,0.06344006129132729
Solution 164,100.0,15327.686923673902,259.16294125987605,15068.46053765768,0.06344475634670921
Solution 165,100.0,15320.799147764037,258.62785219209474,15062.107854653503,0.06344091843947586
Solution 166,100.0,15334.805034740419,259.27739567105857,15075.464193491885,0.0634455774751227
Solution 167,100.0,15332.978889646005,259.3138245831192,15073.601619224044,0.06344583884186794
Solution 168,100.0,15331.562925373179,258.8744406432995,15072.625042042991,0.06344268688707477
Solution 169,100.0,15305.350160543312,257.168574315448,15048.118155767892,0.0634304599721851
Solution 170,100.0,15338.414114978646,259.3213804430006,15079.029288231135,0.06344630451118038
Solution 171,87.0,13940.60450178054,258.73554426846647,13681.806097509947,0.0628600021274951
Solution 172,22.0,13781.135729575828,257.134925697522,13523.939323026161,0.06148085214462207
Solution 173,73.0,13792.038300481185,259.99221126524515,13531.981627610192,0.0644616057473657
Solution 174,16.0,16519.452068418115,260.0919893536177,16259.2947108036,0.06536826089777692
Solution 175,12.0,15336.840418195836,259.13582129614855,15077.641593135682,0.06300376400535646
Solution 176,21.0,15338.478175709644,259.3335446189388,15079.081182129961,0.06344896074460782
Solution 177,56.0,15340.757481011482,259.23690358303713,15081.457222186931,0.06335524151388794
Solution 178,26.0,14051.43309847038,257.77528603262476,13793.595081868154,0.06273056960032697
Solution 179,27.0,13995.28581471793,258.85594855040426,13736.366401680629,0.06346448689753448
