Pg_0,Pg_1,Pg_2,contingency_index,W_k,u_j_0,u_j_1,u_j_2,Z_k_0,Z_k_1,Z_k_2
0.0,972.9553735248062,0.0,0,0.0,0.0024163740435671913,0.1117413159164413,0.11174131591641137,7.166158153874003e-06,7.69558132922181e-06,7.695581328821229e-06
0.0,972.9553735248062,0.0,1,0.0,0.0024268182585918635,0.11174132521343308,0.11174132521340203,6.124537502850886e-06,6.547341018758035e-06,6.547341018783934e-06
0.0,972.9553735248062,0.0,2,0.0,0.0024350090077248114,0.11174131179422157,0.11174131179418968,7.4094941950975445e-06,7.88647974863773e-06,7.886479748642258e-06
0.0,972.9553735248062,0.0,3,0.004657604155087019,0.003662887534489502,0.11174143118584362,0.11174143129642801,2.420511872819041e-08,0.43905807409320197,2.7095274165603024e-08
0.0,972.9553735248062,0.0,4,0.004657604155128684,0.0036628878102854387,0.11174143129645774,0.11174143118581228,2.4205636679731713e-08,2.709435244078992e-08,0.4390580740927152
0.0,972.9553735248062,0.0,5,0.0046611518211742906,0.0038167949241626384,0.11174143118872758,0.11174143133849017,1.764676318087043e-08,0.4391480181122224,2.0222703555485633e-08
0.0,972.9553735248062,0.0,6,0.004661151821160674,0.0038167959503270696,0.11174143133852134,0.1117414311886964,1.7648180211766077e-08,2.0222785370059314e-08,0.4391480181134739
0.0,972.9553735248062,0.0,0,2.1624990214827636e-08,0.025098897771031407,0.10030334735431949,0.10030334735420113,4.416196506354308e-07,6.23614331553577e-07,6.23614331554466e-07
0.0,972.9553735248062,0.0,1,0.0,0.025075422712328876,0.10030336533721053,0.10030336533709157,4.788859912159196e-07,7.458385037190394e-07,7.458385038937873e-07
0.0,972.9553735248062,0.0,2,2.8647897856323658e-08,0.025147199171626423,0.10030334462781168,0.10030334462769114,4.228243093026826e-07,5.622414041019135e-07,5.62241404096242e-07
0.0,972.9553735248062,0.0,3,6.080004474383299e-05,0.02573465506693542,0.1003032917865276,0.10030329613917426,2.4128341379639468e-08,0.20080611424306835,3.8966394577477814e-08
0.0,972.9553735248062,0.0,4,6.0800044726993994e-05,0.02573465638794951,0.10030329613928934,0.10030329178640857,2.412836911724252e-08,3.896664276768308e-08,0.20080611423777345
0.0,972.9553735248062,0.0,5,6.07987005832873e-05,0.02585398627025993,0.10030329172712504,0.10030329543785305,1.847674776444728e-08,0.20080636874235983,3.1314154210855685e-08
0.0,972.9553735248062,0.0,6,6.0798700561870847e-05,0.02585398633489555,0.10030329543797128,0.10030329172700604,1.847671407833806e-08,3.13140388138797e-08,0.2008063687437963
0.0,972.9553735248062,0.0,0,3.9082109089388635e-08,0.02570155430782144,0.10000047671682748,0.10000047671679958,4.2291994317510753e-07,5.961226455425828e-07,5.961226455508764e-07
0.0,972.9553735248062,0.0,1,0.0,0.025676237886553457,0.1000004960516546,0.10000049605162714,4.626290701163977e-07,7.23610963567783e-07,7.236109636207442e-07
0.0,972.9553735248062,0.0,2,4.4912009193194965e-08,0.02575058942095765,0.10000047671504196,0.10000047671501627,4.243309290022414e-07,5.625836318893411e-07,5.625836318918739e-07
0.0,972.9553735248062,0.0,3,8.67393408046094e-08,0.026322890798574458,0.10000042418151844,0.10000042483700775,1.9817353122414417e-08,0.19770726798951674,3.2131912184837026e-08
0.0,972.9553735248062,0.0,4,8.673933868228885e-08,0.0263228667244558,0.10000042483703468,0.10000042418149149,1.9813556477468127e-08,3.2129181304400656e-08,0.19770726751371975
0.0,972.9553735248062,0.0,5,8.853193981981058e-08,0.02644253481116619,0.1000004244871445,0.10000042478842325,2.1989959906113125e-08,0.19738971085095738,3.74167188477173e-08
0.0,972.9553735248062,0.0,6,8.853193414416975e-08,0.026442548403053778,0.10000042478845085,0.10000042448711688,2.1992023713583826e-08,3.741594697842839e-08,0.19738971093559723
0.0,0.0,0.0,0,0.0,0.0024261333936085286,0.10746727663035675,0.1074672766307256,8.341509117673062e-06,8.927220190605945e-06,8.92722019061312e-06
0.0,0.0,0.0,1,0.0,0.0024310277692104238,0.10746727179417519,0.10746727179454324,8.253374649642761e-06,8.78648805349643e-06,8.786488053648323e-06
0.0,0.0,0.0,2,0.0,0.0024455521676261215,0.10746727713078194,0.1074672771311501,8.365706009747943e-06,8.869124383922185e-06,8.869124383928664e-06
0.0,0.0,0.0,3,0.002816383735090156,0.0036054697443185625,0.10746740590565172,0.1074674058557723,1.6117381717811394e-08,0.4225413412946299,1.786969763093035e-08
0.0,0.0,0.0,4,0.002816383735245327,0.003605463842141038,0.10746740585540422,0.10746740590601983,1.6115870348551366e-08,1.786925214955923e-08,0.4225413412945167
