contingency_index,W_k,Pg_0,Pg_1,Pg_2,u_j_0,u_j_1,u_j_2,Z_k_0,Z_k_1,Z_k_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,X_0,X_1,X_2,X_3,X_4,X_5,X_6,B_0,B_1,B_2,B_3,B_4,B_5,B_6,active_0,active_1,active_2,active_3,active_4,active_5,active_6
6,0.00290226249177052,0.0023905779852578645,0.10674963037945166,0.10766294429747256,0.0037346305795365685,0.10674963090684479,0.10766294428214389,3.865222681399634e-08,4.345081816110087e-08,0.4233813887247345,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,0,1
0,0.0,0.014917990412751356,0.10075418357281311,0.10080790594320231,0.01516775756188119,0.10075425409301675,0.10080797463328303,8.34729021451289e-07,1.1036851908838297e-06,1.1039928772797735e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,0,1,1,1,1,1,1
1,0.0,0.014917990412751356,0.10075418357281311,0.10080790594320231,0.015159064256332285,0.10075426473164277,0.10080798873365465,9.063618057754928e-07,1.2396756883561501e-06,1.2400087335161692e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,0,1,1,1,1,1
2,0.0,0.014917990412751356,0.10075418357281311,0.10080790594320231,0.015202179078481964,0.10075425323862874,0.1008079737517304,8.243795332832745e-07,1.0649327110479176e-06,1.0652470023177185e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,0,1,1,1,1
3,0.0001515505211666128,0.014917990412751356,0.10075418357281311,0.10080790594320231,0.015889676348234426,0.10075418354578015,0.10080790825896194,2.055329486417196e-08,0.2017109929277068,2.9378580091173266e-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,0,1,1,1
4,0.0001623961810584769,0.014917990412751356,0.10075418357281311,0.10080790594320231,0.0158980804971727,0.1007541832243303,0.10080790594317197,3.895826043462112e-09,5.566284164909823e-09,0.20181772883512905,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,1,0
5,0.0001515488116927169,0.014917990412751356,0.10075418357281311,0.10080790594320231,0.01596248418876007,0.100754183523528,0.10080790849083776,2.1576359039024263e-08,0.201711083216962,3.158709122474332e-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,0,1,1
6,0.00016239600910536626,0.014917990412751356,0.10075418357281311,0.10080790594320231,0.01597133099320866,0.10075418319091534,0.10080790594281835,4.093297881594856e-09,5.991752346466117e-09,0.20181775507762054,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,0,1
0,0.0,0.016463408295656984,0.10000269094833678,0.10000306667012791,0.01671315975269269,0.10000275984601874,0.10000313555308928,7.538652536083864e-07,1.0074227580520943e-06,1.0074248485621931e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,0,1,1,1,1,1,1
1,0.0,0.016463408295656984,0.10000269094833678,0.10000306667012791,0.016701075024189542,0.10000277182536972,0.10000314755344379,8.017478942466021e-07,1.1185261979510202e-06,1.1185283483770924e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,0,1,1,1,1,1
2,0.0,0.016463408295656984,0.10000269094833678,0.10000306667012791,0.016748719954336334,0.1000027588512804,0.10000313455828602,7.432918419690787e-07,9.689429067264018e-07,9.689450226935527e-07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,0,1,1,1,1
3,5.41491548701414e-07,0.016463408295656984,0.10000269094833678,0.10000306667012791,0.017384702615978794,0.10000269093194189,0.10000306645065006,5.308976669115384e-09,0.20017144850994936,7.735357392391585e-09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,0,1,1,1
4,6.134148684326439e-07,0.016463408295656984,0.10000269094833678,0.10000306667012791,0.01738693599525527,0.10000269366430184,0.10000306659526495,2.512195062282193e-08,3.6606692318338314e-08,0.20009685342086755,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,1,0
5,5.487272548415066e-07,0.016463408295656984,0.10000269094833678,0.10000306667012791,0.01745798001249016,0.10000268934981137,0.10000306877916264,2.2293253101359613e-08,0.2000609115169279,3.329077060680108e-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,0,1,1
6,6.133950016079792e-07,0.016463408295656984,0.10000269094833678,0.10000306667012791,0.017457492025676157,0.10000269387541197,0.10000306657378849,2.6983304442696987e-08,4.029509504349364e-08,0.20008501335526677,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,0,1
0,0.0,0.0024017582424058753,0.1068106737485939,0.10772634097140307,0.0024449029439584723,0.10681055018786227,0.1077262514029354,7.481119683368162e-06,7.993579850531351e-06,8.001565787003964e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,0,1,1,1,1,1,1
1,0.0,0.0024017582424058753,0.1068106737485939,0.10772634097140307,0.002451976244797943,0.1068105538518169,0.1077262590014086,6.856732489902619e-06,7.2940901517096465e-06,7.301389352406861e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,0,1,1,1,1,1
